"_id","status","allowComments","title","body","user","date","comments___id","comments__commentBody","comments__commentUser","comments__commentDate","__v"
"ObjectId(""6055bfeb757349001531a560"")","public","True","Higher Studies ","Can someone explain about the preparation strategy for higher studies in field of computer science.","6055bc20757349001531a55e","2021-03-20T09:27:07.328+0000","ObjectId(""6055c058757349001531a561"")","Sure bro. You can contact me personally at email: noni@gmail.com","6036447381bcaa00157fb63b","2021-03-20T09:28:56.048+0000","NumberInt(3)"
"","","","","","","","ObjectId(""6055c0a7757349001531a562"")","Thank you for your help brother, I will contact you soon :-)","6055bc20757349001531a55e","2021-03-20T09:30:15.871+0000",""
"","","","","","","","ObjectId(""608169301e92f10015461634"")","","608168d11e92f10015461633","2021-04-22T12:16:48.418+0000",""
"ObjectId(""6056feca862efd001509ad31"")","public","True","Which laptop should I buy for gaming","Please share information about gaming laptops","6056fbea862efd001509ad2e","2021-03-21T08:07:38.190+0000","ObjectId(""605703c15f9bee490c9c62ee"")","You can refer to the following website : https://www.intel.in/content/www/in/en/gaming/resources/how-to-pick-the-best-gaming-laptop.html","6036447381bcaa00157fb63b","2021-03-21T08:28:49.939+0000","NumberInt(1)"
"ObjectId(""60570ed9f1757d00150352ca"")","public","True","Beginner","Whcih language should  I learn first ??\r\n(C or cpp)","60570a90559f090015fc13a4","2021-03-21T09:16:09.024+0000","","","","","NumberInt(0)"
"ObjectId(""605712d60e549a0015de93df"")","public","True","My First Question ","which laptop should i buy for programming?","6036447381bcaa00157fb63b","2021-03-21T09:33:10.637+0000","ObjectId(""605713350e549a0015de93e0"")","hi","6036447381bcaa00157fb63b","2021-03-21T09:34:45.134+0000","NumberInt(2)"
"","","","","","","","ObjectId(""605713360e549a0015de93e1"")","hi","6036447381bcaa00157fb63b","2021-03-21T09:34:46.891+0000",""
"ObjectId(""6057145d0e549a0015de93e5"")","public","True","que","want to konw abt c++.can someone help?","6057138d0e549a0015de93e3","2021-03-21T09:39:41.403+0000","ObjectId(""6057147c0e549a0015de93e6"")","plz help","6057138d0e549a0015de93e3","2021-03-21T09:40:12.082+0000","NumberInt(2)"
"","","","","","","","ObjectId(""607af05ef9d45700154ff606"")","","607aee04f9d45700154ff605","2021-04-17T14:27:42.627+0000",""
"ObjectId(""607f0faf185436186855b29e"")","public","True","test title","test question","6038c695a158fa0015c29762","2021-04-20T17:30:23.605+0000","","","","","NumberInt(0)"
"ObjectId(""607f2066279f2d1a996357d4"")","public","False","test title","Are there any Potential Dangers in Artificial Intelligence?\r\n","6038c695a158fa0015c29762","2021-04-20T18:41:42.175+0000","","","","","NumberInt(0)"
"ObjectId(""6082c3a1643b7b0015e2afc4"")","private","True","lkrnv;ljrbdgler",",jemr v;kuejarbg;ojer v:KMer?","607aee04f9d45700154ff605","2021-04-23T12:54:57.588+0000","","","","","NumberInt(0)"
"ObjectId(""6082c8b1643b7b0015e2afc5"")","public","True","data science ","can any peer user tell me what can i expect in this site if i take any course","6056f9c0862efd001509ad2c","2021-04-23T13:16:33.417+0000","","","","","NumberInt(0)"
"ObjectId(""6083bb70f9906a001519fb50"")","public","True","doubt","what is the best course on this site ?✌","6083bab0f9906a001519fb4f","2021-04-24T06:32:16.153+0000","","","","","NumberInt(0)"
"ObjectId(""608430895cd5c40015ba0a43"")","public","True","Hello everyone!","Why common sense is so common???","6055bc20757349001531a55e","2021-04-24T14:51:53.128+0000","ObjectId(""608430f45cd5c40015ba0a44"")","Because everyone has it ","6038c670a158fa0015c29760","2021-04-24T14:53:40.696+0000","NumberInt(1)"
"ObjectId(""60869ea785790e0015f09ccc"")","public","True","doubt regarding operating systems","which is best windows or linux ?","6056f9c0862efd001509ad2c","2021-04-26T11:06:15.707+0000","","","","","NumberInt(0)"
"ObjectId(""608936a9a1bb7400151b7485"")","public","True","doubt","(a+b)^2","6056f9c0862efd001509ad2c","2021-04-28T10:19:21.543+0000","ObjectId(""608936d4a1bb7400151b7486"")","a^2 + b2 +2ab","6083bab0f9906a001519fb4f","2021-04-28T10:20:04.474+0000","NumberInt(1)"
"ObjectId(""608a803044354200155c0880"")","public","True","Programming languages for starters","What is the best programming language for starters?","6038c670a158fa0015c29760","2021-04-29T09:45:20.020+0000","","","","","NumberInt(0)"
